image_name,run_length,value,huffman_code,code_length
0000.jpg,4,-20,1010100100111101,16
0000.jpg,4,22,1010100100101100,16
0000.jpg,4,26,1010100100001101,16
0000.jpg,4,28,1010100100100100,16
0000.jpg,4,29,1010100101001000,16
0000.jpg,4,34,1010100100010001,16
0000.jpg,5,-29,1010100100111110,16
0000.jpg,5,-24,1010100100101011,16
0000.jpg,5,-19,1010100100011010,16
0000.jpg,5,21,1010100100010100,16
0000.jpg,5,26,1010100101000110,16
0000.jpg,5,27,1010100100010011,16
0000.jpg,5,28,1010100101001011,16
0000.jpg,5,29,1010100101000101,16
0000.jpg,5,31,1010100101000001,16
0000.jpg,5,41,1010100100110010,16
0000.jpg,6,-32,1010100101001101,16
0000.jpg,6,-29,1010100101000000,16
0000.jpg,6,-28,1010100100111111,16
0000.jpg,6,-22,1010100101001001,16
0000.jpg,6,18,1010100101000100,16
0000.jpg,6,20,1010100100110100,16
0000.jpg,6,24,1010100100111100,16
0000.jpg,6,34,1010100100110011,16
0000.jpg,7,15,1010100101000011,16
0000.jpg,7,23,1010100101001010,16
0000.jpg,7,29,1010100101000010,16
0000.jpg,8,-4,1010100101010001,16
0000.jpg,8,-3,1010100100110111,16
0000.jpg,11,-2,1010100100101110,16
0000.jpg,13,-3,1010100100110101,16
0000.jpg,13,3,1010100101000111,16
0000.jpg,14,6,1010100101001100,16
0000.jpg,15,4,1010100101001111,16
0000.jpg,19,-1,1010100100101111,16
0000.jpg,23,-2,1010100101001110,16
0000.jpg,30,-1,1010100100100000,16
0000.jpg,30,1,1010100101010000,16
0000.jpg,0,-52,10101001011000111,17
0000.jpg,0,-48,10101001011111100,17
0000.jpg,0,-46,10101001011011000,17
0000.jpg,0,-45,10101001010100101,17
0000.jpg,0,-39,10101001011111000,17
0000.jpg,1,-37,10101001011000011,17
0000.jpg,1,-30,10101001011000001,17
0000.jpg,1,-29,10101001010101100,17
0000.jpg,1,-24,10101001010110011,17
0000.jpg,1,-22,10101001011001111,17
0000.jpg,1,-21,10101001010110111,17
0000.jpg,1,-19,10101001010111100,17
0000.jpg,1,-18,10101001010110001,17
0000.jpg,1,-12,10101001011010111,17
0000.jpg,1,17,10101001010111001,17
0000.jpg,1,27,10101001010100111,17
0000.jpg,1,31,10101001010101110,17
0000.jpg,1,33,10101001011001000,17
0000.jpg,1,40,10101001010101111,17
0000.jpg,2,-45,10101001011100001,17
0000.jpg,2,-44,10101001011001101,17
0000.jpg,2,-38,10101001011011001,17
0000.jpg,2,-31,10101001010110010,17
0000.jpg,2,-29,10101001010101101,17
0000.jpg,2,-26,10101001010100100,17
0000.jpg,2,-24,10101001011000010,17
0000.jpg,2,25,10101001010110000,17
0000.jpg,2,27,10101001011001011,17
0000.jpg,2,28,10101001011001110,17
0000.jpg,2,29,10101001010101001,17
0000.jpg,2,39,10101001010100110,17
0000.jpg,3,-40,10101001010101000,17
0000.jpg,3,-28,10101001011001100,17
0000.jpg,3,24,10101001010110100,17
0000.jpg,3,25,10101001011000000,17
0000.jpg,3,27,10101001010111010,17
0000.jpg,3,31,10101001011101101,17
0000.jpg,3,32,10101001010110101,17
0000.jpg,3,34,10101001010111101,17
0000.jpg,4,-49,10101001011110011,17
